"subject" "activity_label" "variable" "mean"
11 "SITTING" "tBodyAcc-mean()-X" 0.27658531139557
12 "SITTING" "tBodyAcc-mean()-X" 0.27360872421875
13 "SITTING" "tBodyAcc-mean()-X" 0.275895876198777
14 "SITTING" "tBodyAcc-mean()-X" 0.270184596009288
15 "SITTING" "tBodyAcc-mean()-X" 0.27821340725
16 "SITTING" "tBodyAcc-mean()-X" 0.277887440374317
17 "SITTING" "tBodyAcc-mean()-X" 0.274029548065217
18 "SITTING" "tBodyAcc-mean()-X" 0.276324152142857
19 "SITTING" "tBodyAcc-mean()-X" 0.269723487105556
20 "SITTING" "tBodyAcc-mean()-X" 0.268425757926554
21 "SITTING" "tBodyAcc-mean()-X" 0.277466525522059
22 "SITTING" "tBodyAcc-mean()-X" 0.274767690046106
23 "SITTING" "tBodyAcc-mean()-X" 0.273493254730108
24 "SITTING" "tBodyAcc-mean()-X" 0.276767046391076
25 "SITTING" "tBodyAcc-mean()-X" 0.275301467772127
26 "SITTING" "tBodyAcc-mean()-X" 0.2730365808625
27 "SITTING" "tBodyAcc-mean()-X" 0.277264567074468
28 "SITTING" "tBodyAcc-mean()-X" 0.277532554764398
29 "SITTING" "tBodyAcc-mean()-X" 0.279111521944767
30 "SITTING" "tBodyAcc-mean()-X" 0.276305836721932
1 "STANDING" "tBodyAcc-mean()-X" 0.265696920582133
2 "STANDING" "tBodyAcc-mean()-X" 0.273113115788079
3 "STANDING" "tBodyAcc-mean()-X" 0.273428719636364
4 "STANDING" "tBodyAcc-mean()-X" 0.274183111498423
5 "STANDING" "tBodyAcc-mean()-X" 0.279177960301325
6 "STANDING" "tBodyAcc-mean()-X" 0.272376614181538
7 "STANDING" "tBodyAcc-mean()-X" 0.270211697814935
8 "STANDING" "tBodyAcc-mean()-X" 0.270759063295374
9 "STANDING" "tBodyAcc-mean()-X" 0.270313841621528
10 "STANDING" "tBodyAcc-mean()-X" 0.27684847392517
11 "STANDING" "tBodyAcc-mean()-X" 0.27658531139557
12 "STANDING" "tBodyAcc-mean()-X" 0.27360872421875
13 "STANDING" "tBodyAcc-mean()-X" 0.275895876198777
14 "STANDING" "tBodyAcc-mean()-X" 0.270184596009288
15 "STANDING" "tBodyAcc-mean()-X" 0.27821340725
16 "STANDING" "tBodyAcc-mean()-X" 0.277887440374317
17 "STANDING" "tBodyAcc-mean()-X" 0.274029548065217
18 "STANDING" "tBodyAcc-mean()-X" 0.276324152142857
19 "STANDING" "tBodyAcc-mean()-X" 0.269723487105556
20 "STANDING" "tBodyAcc-mean()-X" 0.268425757926554
21 "STANDING" "tBodyAcc-mean()-X" 0.277466525522059
22 "STANDING" "tBodyAcc-mean()-X" 0.274767690046106
23 "STANDING" "tBodyAcc-mean()-X" 0.273493254730108
24 "STANDING" "tBodyAcc-mean()-X" 0.276767046391076
25 "STANDING" "tBodyAcc-mean()-X" 0.275301467772127
26 "STANDING" "tBodyAcc-mean()-X" 0.2730365808625
27 "STANDING" "tBodyAcc-mean()-X" 0.277264567074468
28 "STANDING" "tBodyAcc-mean()-X" 0.277532554764398
29 "STANDING" "tBodyAcc-mean()-X" 0.279111521944767
30 "STANDING" "tBodyAcc-mean()-X" 0.276305836721932
1 "WALKING" "tBodyAcc-mean()-X" 0.265696920582133
2 "WALKING" "tBodyAcc-mean()-X" 0.273113115788079
3 "WALKING" "tBodyAcc-mean()-X" 0.273428719636364
4 "WALKING" "tBodyAcc-mean()-X" 0.274183111498423
5 "WALKING" "tBodyAcc-mean()-X" 0.279177960301325
6 "WALKING" "tBodyAcc-mean()-X" 0.272376614181538
7 "WALKING" "tBodyAcc-mean()-X" 0.270211697814935
8 "WALKING" "tBodyAcc-mean()-X" 0.270759063295374
9 "WALKING" "tBodyAcc-mean()-X" 0.270313841621528
10 "WALKING" "tBodyAcc-mean()-X" 0.27684847392517
11 "WALKING" "tBodyAcc-mean()-X" 0.27658531139557
12 "WALKING" "tBodyAcc-mean()-X" 0.27360872421875
13 "WALKING" "tBodyAcc-mean()-X" 0.275895876198777
14 "WALKING" "tBodyAcc-mean()-X" 0.270184596009288
15 "WALKING" "tBodyAcc-mean()-X" 0.27821340725
16 "WALKING" "tBodyAcc-mean()-X" 0.277887440374317
17 "WALKING" "tBodyAcc-mean()-X" 0.274029548065217
18 "WALKING" "tBodyAcc-mean()-X" 0.276324152142857
19 "WALKING" "tBodyAcc-mean()-X" 0.269723487105556
20 "WALKING" "tBodyAcc-mean()-X" 0.268425757926554
21 "WALKING" "tBodyAcc-mean()-X" 0.277466525522059
22 "WALKING" "tBodyAcc-mean()-X" 0.274767690046106
23 "WALKING" "tBodyAcc-mean()-X" 0.273493254730108
24 "WALKING" "tBodyAcc-mean()-X" 0.276767046391076
25 "WALKING" "tBodyAcc-mean()-X" 0.275301467772127
26 "WALKING" "tBodyAcc-mean()-X" 0.2730365808625
27 "WALKING" "tBodyAcc-mean()-X" 0.277264567074468
28 "WALKING" "tBodyAcc-mean()-X" 0.277532554764398
29 "WALKING" "tBodyAcc-mean()-X" 0.279111521944767
30 "WALKING" "tBodyAcc-mean()-X" 0.276305836721932
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.265696920582133
2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.273113115788079
3 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.273428719636364
4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.274183111498423
5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.279177960301325
6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.272376614181538
7 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.270211697814935
8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.270759063295374
9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.270313841621528
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27684847392517
11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27658531139557
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27360872421875
13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.275895876198777
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.270184596009288
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27821340725
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277887440374317
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.274029548065217
18 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.276324152142857
19 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.269723487105556
20 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.268425757926554
21 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277466525522059
22 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.274767690046106
23 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.273493254730108
24 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.276767046391076
25 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.275301467772127
26 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.2730365808625
27 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277264567074468
28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277532554764398
29 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.279111521944767
30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.276305836721932
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265696920582133
2 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.273113115788079
3 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.273428719636364
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.274183111498423
5 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.279177960301325
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.272376614181538
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270211697814935
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270759063295374
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270313841621528
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.27684847392517
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.27658531139557
12 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.27360872421875
13 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.275895876198777
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270184596009288
15 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.27821340725
16 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.277887440374317
17 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.274029548065217
18 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.276324152142857
19 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.269723487105556
20 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.268425757926554
21 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.277466525522059
22 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.274767690046106
23 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.273493254730108
24 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.276767046391076
25 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.275301467772127
26 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.2730365808625
27 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.277264567074468
28 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.277532554764398
29 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.279111521944767
30 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.276305836721932
1 "LAYING" "tBodyAcc-mean()-Y" -0.0182981725176081
2 "LAYING" "tBodyAcc-mean()-Y" -0.0191323183174834
3 "LAYING" "tBodyAcc-mean()-Y" -0.017856067384956
4 "LAYING" "tBodyAcc-mean()-Y" -0.0148081545344921
5 "LAYING" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "LAYING" "tBodyAcc-mean()-Y" -0.0175697042641846
7 "LAYING" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "LAYING" "tBodyAcc-mean()-Y" -0.0181894974688612
9 "LAYING" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "LAYING" "tBodyAcc-mean()-Y" -0.017835790552415
11 "LAYING" "tBodyAcc-mean()-Y" -0.0191272531933228
12 "LAYING" "tBodyAcc-mean()-Y" -0.018337204411489
13 "LAYING" "tBodyAcc-mean()-Y" -0.0176504796070948
14 "LAYING" "tBodyAcc-mean()-Y" -0.0162548178510526
15 "LAYING" "tBodyAcc-mean()-Y" -0.016464484771311
16 "LAYING" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "LAYING" "tBodyAcc-mean()-Y" -0.0175416045074728
18 "LAYING" "tBodyAcc-mean()-Y" -0.0172831546595266
19 "LAYING" "tBodyAcc-mean()-Y" -0.0182031515710306
20 "LAYING" "tBodyAcc-mean()-Y" -0.0175912993773164
21 "LAYING" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "LAYING" "tBodyAcc-mean()-Y" -0.0168273604077383
23 "LAYING" "tBodyAcc-mean()-Y" -0.019589258786828
24 "LAYING" "tBodyAcc-mean()-Y" -0.0176822460103885
25 "LAYING" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "LAYING" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "LAYING" "tBodyAcc-mean()-Y" -0.0167969215592152
28 "LAYING" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "LAYING" "tBodyAcc-mean()-Y" -0.018471953048314
30 "LAYING" "tBodyAcc-mean()-Y" -0.0175856077340209
1 "SITTING" "tBodyAcc-mean()-Y" -0.0182981725176081
2 "SITTING" "tBodyAcc-mean()-Y" -0.0191323183174834
3 "SITTING" "tBodyAcc-mean()-Y" -0.017856067384956
4 "SITTING" "tBodyAcc-mean()-Y" -0.0148081545344921
5 "SITTING" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "SITTING" "tBodyAcc-mean()-Y" -0.0175697042641846
7 "SITTING" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "SITTING" "tBodyAcc-mean()-Y" -0.0181894974688612
9 "SITTING" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "SITTING" "tBodyAcc-mean()-Y" -0.017835790552415
11 "SITTING" "tBodyAcc-mean()-Y" -0.0191272531933228
12 "SITTING" "tBodyAcc-mean()-Y" -0.018337204411489
13 "SITTING" "tBodyAcc-mean()-Y" -0.0176504796070948
14 "SITTING" "tBodyAcc-mean()-Y" -0.0162548178510526
15 "SITTING" "tBodyAcc-mean()-Y" -0.016464484771311
16 "SITTING" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "SITTING" "tBodyAcc-mean()-Y" -0.0175416045074728
18 "SITTING" "tBodyAcc-mean()-Y" -0.0172831546595266
19 "SITTING" "tBodyAcc-mean()-Y" -0.0182031515710306
20 "SITTING" "tBodyAcc-mean()-Y" -0.0175912993773164
21 "SITTING" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "SITTING" "tBodyAcc-mean()-Y" -0.0168273604077383
23 "SITTING" "tBodyAcc-mean()-Y" -0.019589258786828
24 "SITTING" "tBodyAcc-mean()-Y" -0.0176822460103885
25 "SITTING" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "SITTING" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "SITTING" "tBodyAcc-mean()-Y" -0.0167969215592152
28 "SITTING" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "SITTING" "tBodyAcc-mean()-Y" -0.018471953048314
30 "SITTING" "tBodyAcc-mean()-Y" -0.0175856077340209
1 "STANDING" "tBodyAcc-mean()-Y" -0.0182981725176081
2 "STANDING" "tBodyAcc-mean()-Y" -0.0191323183174834
3 "STANDING" "tBodyAcc-mean()-Y" -0.017856067384956
4 "STANDING" "tBodyAcc-mean()-Y" -0.0148081545344921
5 "STANDING" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "STANDING" "tBodyAcc-mean()-Y" -0.0175697042641846
7 "STANDING" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "STANDING" "tBodyAcc-mean()-Y" -0.0181894974688612
9 "STANDING" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "STANDING" "tBodyAcc-mean()-Y" -0.017835790552415
11 "STANDING" "tBodyAcc-mean()-Y" -0.0191272531933228
12 "STANDING" "tBodyAcc-mean()-Y" -0.018337204411489
13 "STANDING" "tBodyAcc-mean()-Y" -0.0176504796070948
14 "STANDING" "tBodyAcc-mean()-Y" -0.0162548178510526
15 "STANDING" "tBodyAcc-mean()-Y" -0.016464484771311
16 "STANDING" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "STANDING" "tBodyAcc-mean()-Y" -0.0175416045074728
18 "STANDING" "tBodyAcc-mean()-Y" -0.0172831546595266
19 "STANDING" "tBodyAcc-mean()-Y" -0.0182031515710306
20 "STANDING" "tBodyAcc-mean()-Y" -0.0175912993773164
21 "STANDING" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "STANDING" "tBodyAcc-mean()-Y" -0.0168273604077383
23 "STANDING" "tBodyAcc-mean()-Y" -0.019589258786828
24 "STANDING" "tBodyAcc-mean()-Y" -0.0176822460103885
25 "STANDING" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "STANDING" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "STANDING" "tBodyAcc-mean()-Y" -0.0167969215592152
28 "STANDING" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "STANDING" "tBodyAcc-mean()-Y" -0.018471953048314
30 "STANDING" "tBodyAcc-mean()-Y" -0.0175856077340209
1 "WALKING" "tBodyAcc-mean()-Y" -0.0182981725176081
2 "WALKING" "tBodyAcc-mean()-Y" -0.0191323183174834
3 "WALKING" "tBodyAcc-mean()-Y" -0.017856067384956
4 "WALKING" "tBodyAcc-mean()-Y" -0.0148081545344921
5 "WALKING" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "WALKING" "tBodyAcc-mean()-Y" -0.0175697042641846
7 "WALKING" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "WALKING" "tBodyAcc-mean()-Y" -0.0181894974688612
9 "WALKING" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "WALKING" "tBodyAcc-mean()-Y" -0.017835790552415
11 "WALKING" "tBodyAcc-mean()-Y" -0.0191272531933228
12 "WALKING" "tBodyAcc-mean()-Y" -0.018337204411489
13 "WALKING" "tBodyAcc-mean()-Y" -0.0176504796070948
14 "WALKING" "tBodyAcc-mean()-Y" -0.0162548178510526
15 "WALKING" "tBodyAcc-mean()-Y" -0.016464484771311
16 "WALKING" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "WALKING" "tBodyAcc-mean()-Y" -0.0175416045074728
18 "WALKING" "tBodyAcc-mean()-Y" -0.0172831546595266
19 "WALKING" "tBodyAcc-mean()-Y" -0.0182031515710306
20 "WALKING" "tBodyAcc-mean()-Y" -0.0175912993773164
21 "WALKING" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "WALKING" "tBodyAcc-mean()-Y" -0.0168273604077383
23 "WALKING" "tBodyAcc-mean()-Y" -0.019589258786828
24 "WALKING" "tBodyAcc-mean()-Y" -0.0176822460103885
25 "WALKING" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "WALKING" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "WALKING" "tBodyAcc-mean()-Y" -0.0167969215592152
28 "WALKING" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "WALKING" "tBodyAcc-mean()-Y" -0.018471953048314
30 "WALKING" "tBodyAcc-mean()-Y" -0.0175856077340209
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0182981725176081
2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0191323183174834
3 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.017856067384956
4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0148081545344921
5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0175697042641846
7 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0181894974688612
9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.017835790552415
11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0191272531933228
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.018337204411489
13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0176504796070948
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0162548178510526
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.016464484771311
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0175416045074728
18 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0172831546595266
19 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0182031515710306
20 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0175912993773164
21 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0168273604077383
23 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.019589258786828
24 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0176822460103885
25 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0167969215592152
28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.018471953048314
30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0175856077340209
1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0182981725176081
2 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0191323183174834
3 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.017856067384956
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0148081545344921
5 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0175697042641846
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0181894974688612
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.017835790552415
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0191272531933228
12 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.018337204411489
13 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0176504796070948
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0162548178510526
15 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.016464484771311
16 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0175416045074728
18 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0172831546595266
19 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0182031515710306
20 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0175912993773164
21 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0168273604077383
23 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.019589258786828
24 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0176822460103885
25 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0167969215592152
28 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.018471953048314
30 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0175856077340209
1 "LAYING" "tBodyAcc-mean()-Z" -0.10784573454611
2 "LAYING" "tBodyAcc-mean()-Z" -0.115649958175497
3 "LAYING" "tBodyAcc-mean()-Z" -0.106492632429097
4 "LAYING" "tBodyAcc-mean()-Z" -0.107521430810726
5 "LAYING" "tBodyAcc-mean()-Z" -0.105661736816887
6 "LAYING" "tBodyAcc-mean()-Z" -0.11599454136
7 "LAYING" "tBodyAcc-mean()-Z" -0.112492375388312
8 "LAYING" "tBodyAcc-mean()-Z" -0.106809623683986
9 "LAYING" "tBodyAcc-mean()-Z" -0.101233826213889
10 "LAYING" "tBodyAcc-mean()-Z" -0.111301532185714
11 "LAYING" "tBodyAcc-mean()-Z" -0.108941761642405
12 "LAYING" "tBodyAcc-mean()-Z" -0.106649116775
13 "LAYING" "tBodyAcc-mean()-Z" -0.109135285550765
14 "LAYING" "tBodyAcc-mean()-Z" -0.100985935692074
15 "LAYING" "tBodyAcc-mean()-Z" -0.112563587594512
16 "LAYING" "tBodyAcc-mean()-Z" -0.107263924445355
17 "LAYING" "tBodyAcc-mean()-Z" -0.109199853130082
18 "LAYING" "tBodyAcc-mean()-Z" -0.108112251068681
19 "LAYING" "tBodyAcc-mean()-Z" -0.118277180099383
20 "LAYING" "tBodyAcc-mean()-Z" -0.108029145824294
21 "LAYING" "tBodyAcc-mean()-Z" -0.10877848058848
22 "LAYING" "tBodyAcc-mean()-Z" -0.108670376782866
23 "LAYING" "tBodyAcc-mean()-Z" -0.109093982385242
24 "LAYING" "tBodyAcc-mean()-Z" -0.107914503687664
25 "LAYING" "tBodyAcc-mean()-Z" -0.10962903098044
26 "LAYING" "tBodyAcc-mean()-Z" -0.107637894928571
27 "LAYING" "tBodyAcc-mean()-Z" -0.110848300413564
28 "LAYING" "tBodyAcc-mean()-Z" -0.109710873104188
